"Mês/Ano";"Tipo";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Valor Transferido";
"03/2024";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 477.500,00";
"01/2024";"Legais, Voluntárias e Específicas";"TRANSPORTE TERRESTRE E TRANSITO";"26 - Transporte";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 3.831.342,39";
"07/2024";"Legais, Voluntárias e Específicas";"CULTURA";"13 - Cultura";"Administração Pública Municipal";"AC";"R$ 499.500,00";
"12/2024";"Legais, Voluntárias e Específicas";"SEGURANCA PUBLICA COM CIDADANIA";"06 - Segurança pública";"Fundo Público";"AC";"R$ 1.287.370,53";
"12/2024";"Legais, Voluntárias e Específicas";"DIREITO A CULTURA";"13 - Cultura";"Entidades Sem Fins Lucrativos";"AC";"R$ 249.404,70";
"11/2024";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"AC";"R$ 3.860.800,80";
"12/2024";"Legais, Voluntárias e Específicas";"NEOINDUSTRIALIZACAO, AMBIENTE DE NEGOCIOS E PARTICIPACAO ECONOMICA INTERNACIONAL";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 146.832,00";
"02/2024";"Legais, Voluntárias e Específicas";"EDUCACAO PROFISSIONAL E TECNOLOGICA";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 312.000,00";
"06/2024";"Legais, Voluntárias e Específicas";"CONECTA BRASIL";"24 - Comunicações";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 174.607,67";
"05/2024";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Fundo Público";"AC";"R$ 23.876,97";
"03/2024";"Legais, Voluntárias e Específicas";"JUSTICA, CIDADANIA E SEGURANCA PUBLICA";"06 - Segurança pública";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 562.193,99";
"02/2024";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 104.310,00";
"06/2024";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 283.546,38";
"05/2024";"Legais, Voluntárias e Específicas";"NEOINDUSTRIALIZACAO, AMBIENTE DE NEGOCIOS E PARTICIPACAO ECONOMICA INTERNACIONAL";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 36.708,00";
"05/2024";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 720.000,00";
"06/2024";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 147.000,00";
"06/2024";"Legais, Voluntárias e Específicas";"PROMOCAO DA CIDADANIA, DEFESA DE DIREITOS HUMANOS E REPARACAO DE VIOLACOES";"14 - Direitos da cidadania";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 606.134,87";
