"Mês/Ano";"Tipo";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Valor Transferido";
"09/2023";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 916.800,00";
"07/2023";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"R$ 101.920,00";
"11/2023";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.084.800,00";
"10/2023";"Legais, Voluntárias e Específicas";"ESTATISTICAS E AVALIACOES EDUCACIONAIS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 206.543,40";
"08/2023";"Legais, Voluntárias e Específicas";"MELHORIA DO AMBIENTE DE NEGOCIOS E DA PRODUTIVIDADE";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 36.708,00";
"05/2023";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"R$ 5.791.900,11";
"10/2023";"Legais, Voluntárias e Específicas";"ESPORTE";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 95.500,00";
"09/2023";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 388.680,67";
"08/2023";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"R$ 1.052.149,50";
"12/2023";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"26 - Transporte";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.433.480,99";
"02/2023";"Legais, Voluntárias e Específicas";"MELHORIA DO AMBIENTE DE NEGOCIOS E DA PRODUTIVIDADE";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 61.180,00";
"08/2023";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.657.827,32";
"09/2023";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Fundo Público";"AC";"R$ 779.643,98";
"10/2023";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 89,12";
"10/2023";"Legais, Voluntárias e Específicas";"COOPERACAO COM O DESENVOLVIMENTO NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 448.600,00";
"05/2023";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 462.431,57";
"02/2023";"Legais, Voluntárias e Específicas";"EDUCACAO INFANTIL";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 103.643,60";
"12/2023";"Legais, Voluntárias e Específicas";"PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS";"14 - Direitos da cidadania";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 509.141,05";
"02/2023";"Legais, Voluntárias e Específicas";"ATENCAO ESPECIALIZADA A SAUDE";"10 - Saúde";"Entidades Sem Fins Lucrativos";"AC";"R$ 154.792,21";
"03/2023";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 300.000,00";
"12/2023";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Sem Informação";"AC";"R$ 622.630,05";
"06/2023";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 9.099.364,21";
"11/2023";"Legais, Voluntárias e Específicas";"COOPERACAO COM O DESENVOLVIMENTO NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 424.477,78";
"08/2023";"Legais, Voluntárias e Específicas";"COOPERACAO COM O DESENVOLVIMENTO NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.862.400,00";
"08/2023";"Legais, Voluntárias e Específicas";"ESTATISTICAS E AVALIACOES EDUCACIONAIS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 88.765,50";
"06/2023";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 132.000,00";
"04/2023";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 274.997,90";
